teacher_id,teacher_name,subject,contract_on_file,degree_on_file,transcript_on_file,notes
NB-T-001,Teacher_001,Math,YES,YES,YES,Complete
NB-T-002,Teacher_002,Science,YES,YES,YES,Complete
NB-T-003,Teacher_003,History,YES,YES,YES,Complete
NB-T-004,Teacher_004,Arts,YES,YES,YES,Complete
NB-T-005,Teacher_005,English,YES,YES,YES,Complete
NB-T-006,Teacher_006,Math,YES,YES,YES,Complete
NB-T-007,Teacher_007,Science,YES,YES,YES,Complete
NB-T-008,Teacher_008,History,YES,YES,YES,Complete
NB-T-009,Teacher_009,Arts,YES,YES,YES,Complete
NB-T-010,Teacher_010,English,YES,YES,YES,Complete
NB-T-011,Teacher_011,Math,YES,YES,YES,Complete
NB-T-012,Teacher_012,Science,YES,YES,YES,Complete
NB-T-013,Teacher_013,History,YES,YES,YES,Complete
NB-T-014,Teacher_014,Arts,YES,YES,YES,Complete
NB-T-015,Teacher_015,English,YES,YES,YES,Complete
NB-T-016,Teacher_016,Math,YES,YES,YES,Complete
NB-T-017,Teacher_017,Science,YES,YES,NO,Transcript request pending from HR
NB-T-018,Teacher_018,History,YES,YES,YES,Complete
NB-T-019,Teacher_019,Arts,YES,YES,YES,Complete
NB-T-020,Teacher_020,English,YES,YES,YES,Complete
NB-T-021,Teacher_021,Math,YES,YES,YES,Complete
NB-T-022,Teacher_022,Science,YES,YES,YES,Complete
NB-T-023,Teacher_023,History,YES,YES,YES,Complete
NB-T-024,Teacher_024,Arts,YES,YES,YES,Complete
NB-T-025,Teacher_025,English,YES,YES,YES,Complete
NB-T-026,Teacher_026,Math,YES,YES,YES,Complete
NB-T-027,Teacher_027,Science,YES,YES,YES,Complete
NB-T-028,Teacher_028,History,YES,YES,NO,Transcript request pending from HR
NB-T-029,Teacher_029,Arts,YES,YES,YES,Complete
NB-T-030,Teacher_030,English,YES,YES,YES,Complete
NB-T-031,Teacher_031,Math,YES,YES,YES,Complete
NB-T-032,Teacher_032,Science,YES,YES,YES,Complete
NB-T-033,Teacher_033,History,YES,YES,YES,Complete
NB-T-034,Teacher_034,Arts,YES,YES,YES,Complete
NB-T-035,Teacher_035,English,YES,YES,YES,Complete
NB-T-036,Teacher_036,Math,YES,YES,YES,Complete
NB-T-037,Teacher_037,Science,YES,YES,YES,Complete
NB-T-038,Teacher_038,History,YES,YES,YES,Complete
NB-T-039,Teacher_039,Arts,YES,YES,YES,Complete
NB-T-040,Teacher_040,English,YES,YES,YES,Complete
NB-T-041,Teacher_041,Math,YES,YES,YES,Complete
NB-T-042,Teacher_042,Science,YES,YES,YES,Complete
NB-T-043,Teacher_043,History,YES,YES,YES,Complete
NB-T-044,Teacher_044,Arts,YES,YES,NO,Transcript request pending from HR
NB-T-045,Teacher_045,English,YES,YES,YES,Complete
NB-T-046,Teacher_046,Math,YES,YES,YES,Complete
NB-T-047,Teacher_047,Science,YES,YES,YES,Complete
NB-T-048,Teacher_048,History,YES,YES,YES,Complete
NB-T-049,Teacher_049,Arts,YES,YES,YES,Complete
NB-T-050,Teacher_050,English,YES,YES,YES,Complete
NB-T-051,Teacher_051,Math,YES,YES,YES,Complete
NB-T-052,Teacher_052,Science,YES,YES,YES,Complete
NB-T-053,Teacher_053,History,YES,YES,YES,Complete
NB-T-054,Teacher_054,Arts,YES,YES,YES,Complete
NB-T-055,Teacher_055,English,YES,YES,YES,Complete
NB-T-056,Teacher_056,Math,YES,YES,YES,Complete
NB-T-057,Teacher_057,Science,YES,YES,YES,Complete
NB-T-058,Teacher_058,History,YES,YES,YES,Complete
NB-T-059,Teacher_059,Arts,YES,YES,YES,Complete
NB-T-060,Teacher_060,English,YES,YES,YES,Complete
NB-T-061,Teacher_061,Math,YES,YES,YES,Complete
NB-T-062,Teacher_062,Science,YES,YES,YES,Complete
