employee_id,employee_name,department,signed_date,status
WM-EMP-001,Employee_001,Operations,2024-08-02,SIGNED
WM-EMP-002,Employee_002,Athletics,2024-08-03,SIGNED
WM-EMP-003,Employee_003,Admin,2024-08-04,SIGNED
WM-EMP-004,Employee_004,Academics,2024-08-05,SIGNED
WM-EMP-005,Employee_005,Operations,,PENDING
WM-EMP-006,Employee_006,Athletics,2024-08-07,SIGNED
WM-EMP-007,Employee_007,Admin,2024-08-08,SIGNED
WM-EMP-008,Employee_008,Academics,2024-08-09,SIGNED
WM-EMP-009,Employee_009,Operations,2024-08-10,SIGNED
WM-EMP-010,Employee_010,Athletics,2024-08-11,SIGNED
WM-EMP-011,Employee_011,Admin,,PENDING
WM-EMP-012,Employee_012,Academics,2024-08-13,SIGNED
WM-EMP-013,Employee_013,Operations,2024-08-14,SIGNED
WM-EMP-014,Employee_014,Athletics,2024-08-15,SIGNED
WM-EMP-015,Employee_015,Admin,2024-08-16,SIGNED
WM-EMP-016,Employee_016,Academics,2024-08-17,SIGNED
WM-EMP-017,Employee_017,Operations,2024-08-18,SIGNED
WM-EMP-018,Employee_018,Athletics,2024-08-19,SIGNED
WM-EMP-019,Employee_019,Admin,,PENDING
WM-EMP-020,Employee_020,Academics,2024-08-01,SIGNED
WM-EMP-021,Employee_021,Operations,2024-08-02,SIGNED
WM-EMP-022,Employee_022,Athletics,2024-08-03,SIGNED
WM-EMP-023,Employee_023,Admin,2024-08-04,SIGNED
WM-EMP-024,Employee_024,Academics,2024-08-05,SIGNED
WM-EMP-025,Employee_025,Operations,2024-08-06,SIGNED
WM-EMP-026,Employee_026,Athletics,,PENDING
WM-EMP-027,Employee_027,Admin,2024-08-08,SIGNED
WM-EMP-028,Employee_028,Academics,2024-08-09,SIGNED
WM-EMP-029,Employee_029,Operations,2024-08-10,SIGNED
WM-EMP-030,Employee_030,Athletics,2024-08-11,SIGNED
WM-EMP-031,Employee_031,Admin,2024-08-12,SIGNED
WM-EMP-032,Employee_032,Academics,2024-08-13,SIGNED
WM-EMP-033,Employee_033,Operations,2024-08-14,SIGNED
WM-EMP-034,Employee_034,Athletics,2024-08-15,SIGNED
WM-EMP-035,Employee_035,Admin,2024-08-16,SIGNED
WM-EMP-036,Employee_036,Academics,2024-08-17,SIGNED
WM-EMP-037,Employee_037,Operations,2024-08-18,SIGNED
WM-EMP-038,Employee_038,Athletics,,PENDING
WM-EMP-039,Employee_039,Admin,2024-08-20,SIGNED
WM-EMP-040,Employee_040,Academics,2024-08-01,SIGNED
WM-EMP-041,Employee_041,Operations,2024-08-02,SIGNED
WM-EMP-042,Employee_042,Athletics,2024-08-03,SIGNED
WM-EMP-043,Employee_043,Admin,2024-08-04,SIGNED
WM-EMP-044,Employee_044,Academics,,PENDING
WM-EMP-045,Employee_045,Operations,2024-08-06,SIGNED
WM-EMP-046,Employee_046,Athletics,2024-08-07,SIGNED
WM-EMP-047,Employee_047,Admin,2024-08-08,SIGNED
