employee_id,employee_name,role,department,vechs_status,ethics_status
NB-EMP-001,Employee_001,Admin,Operations,Eligible,SIGNED
NB-EMP-002,Employee_002,Counselor,Athletics,Eligible,SIGNED
NB-EMP-003,Employee_003,Nurse,Admin,Eligible,SIGNED
NB-EMP-004,Employee_004,Coach,Academics,Eligible,SIGNED
NB-EMP-005,Employee_005,Teacher,Operations,Eligible,SIGNED
NB-EMP-006,Employee_006,Admin,Athletics,Eligible,SIGNED
NB-EMP-007,Employee_007,Counselor,Admin,Eligible,SIGNED
NB-EMP-008,Employee_008,Nurse,Academics,Eligible,SIGNED
NB-EMP-009,Employee_009,Coach,Operations,Eligible,SIGNED
NB-EMP-010,Employee_010,Teacher,Athletics,Eligible,SIGNED
NB-EMP-011,Employee_011,Admin,Admin,Eligible,SIGNED
NB-EMP-012,Employee_012,Counselor,Academics,Eligible,SIGNED
NB-EMP-013,Employee_013,Nurse,Operations,Eligible,SIGNED
NB-EMP-014,Employee_014,Coach,Athletics,Eligible,SIGNED
NB-EMP-015,Employee_015,Teacher,Admin,Eligible,SIGNED
NB-EMP-016,Employee_016,Admin,Academics,Eligible,SIGNED
NB-EMP-017,Employee_017,Counselor,Operations,Eligible,SIGNED
NB-EMP-018,Employee_018,Nurse,Athletics,Eligible,SIGNED
NB-EMP-019,Employee_019,Coach,Admin,Eligible,SIGNED
NB-EMP-020,Employee_020,Teacher,Academics,Eligible,SIGNED
NB-EMP-021,Employee_021,Admin,Operations,Eligible,SIGNED
NB-EMP-022,Employee_022,Counselor,Athletics,Eligible,SIGNED
NB-EMP-023,Employee_023,Nurse,Admin,Eligible,SIGNED
NB-EMP-024,Employee_024,Coach,Academics,Eligible,SIGNED
NB-EMP-025,Employee_025,Teacher,Operations,Eligible,SIGNED
NB-EMP-026,Employee_026,Admin,Athletics,Eligible,SIGNED
NB-EMP-027,Employee_027,Counselor,Admin,Eligible,SIGNED
NB-EMP-028,Employee_028,Nurse,Academics,Eligible,SIGNED
NB-EMP-029,Employee_029,Coach,Operations,Eligible,SIGNED
NB-EMP-030,Employee_030,Teacher,Athletics,Eligible,SIGNED
NB-EMP-031,Employee_031,Admin,Admin,Eligible,SIGNED
NB-EMP-032,Employee_032,Counselor,Academics,Eligible,SIGNED
NB-EMP-033,Employee_033,Nurse,Operations,Eligible,SIGNED
NB-EMP-034,Employee_034,Coach,Athletics,Eligible,SIGNED
NB-EMP-035,Employee_035,Teacher,Admin,Eligible,SIGNED
NB-EMP-036,Employee_036,Admin,Academics,Eligible,SIGNED
NB-EMP-037,Employee_037,Counselor,Operations,Eligible,SIGNED
NB-EMP-038,Employee_038,Nurse,Athletics,Eligible,SIGNED
NB-EMP-039,Employee_039,Coach,Admin,Eligible,SIGNED
NB-EMP-040,Employee_040,Teacher,Academics,Eligible,SIGNED
NB-EMP-041,Employee_041,Admin,Operations,Eligible,SIGNED
NB-EMP-042,Employee_042,Counselor,Athletics,Eligible,SIGNED
NB-EMP-043,Employee_043,Nurse,Admin,Eligible,SIGNED
NB-EMP-044,Employee_044,Coach,Academics,Eligible,SIGNED
NB-EMP-045,Employee_045,Teacher,Operations,Eligible,SIGNED
NB-EMP-046,Employee_046,Admin,Athletics,Eligible,SIGNED
NB-EMP-047,Employee_047,Counselor,Admin,Eligible,SIGNED
NB-EMP-048,Employee_048,Nurse,Academics,Eligible,SIGNED
NB-EMP-049,Employee_049,Coach,Operations,Eligible,SIGNED
NB-EMP-050,Employee_050,Teacher,Athletics,Eligible,SIGNED
NB-EMP-051,Employee_051,Admin,Admin,Eligible,SIGNED
NB-EMP-052,Employee_052,Counselor,Academics,Eligible,SIGNED
NB-EMP-053,Employee_053,Nurse,Operations,Eligible,SIGNED
NB-EMP-054,Employee_054,Coach,Athletics,Eligible,SIGNED
NB-EMP-055,Employee_055,Teacher,Admin,Eligible,SIGNED
NB-EMP-056,Employee_056,Admin,Academics,Eligible,SIGNED
NB-EMP-057,Employee_057,Counselor,Operations,Eligible,SIGNED
NB-EMP-058,Employee_058,Nurse,Athletics,Eligible,SIGNED
NB-EMP-059,Employee_059,Coach,Admin,Eligible,SIGNED
NB-EMP-060,Employee_060,Teacher,Academics,Eligible,SIGNED
NB-EMP-061,Employee_061,Admin,Operations,Eligible,SIGNED
NB-EMP-062,Employee_062,Counselor,Athletics,Eligible,SIGNED
NB-EMP-063,Employee_063,Nurse,Admin,Eligible,SIGNED
NB-EMP-064,Employee_064,Coach,Academics,Eligible,SIGNED
NB-EMP-065,Employee_065,Teacher,Operations,Eligible,SIGNED
NB-EMP-066,Employee_066,Admin,Athletics,Eligible,SIGNED
NB-EMP-067,Employee_067,Counselor,Admin,Eligible,SIGNED
NB-EMP-068,Employee_068,Nurse,Academics,Eligible,SIGNED
NB-EMP-069,Employee_069,Coach,Operations,Eligible,SIGNED
NB-EMP-070,Employee_070,Teacher,Athletics,Eligible,SIGNED
NB-EMP-071,Employee_071,Admin,Admin,Eligible,SIGNED
NB-EMP-072,Employee_072,Counselor,Academics,Eligible,SIGNED
NB-EMP-073,Employee_073,Nurse,Operations,Eligible,SIGNED
NB-EMP-074,Employee_074,Coach,Athletics,Eligible,SIGNED
NB-EMP-075,Employee_075,Teacher,Admin,Eligible,SIGNED
NB-EMP-076,Employee_076,Admin,Academics,Eligible,SIGNED
NB-EMP-077,Employee_077,Counselor,Operations,Eligible,SIGNED
NB-EMP-078,Employee_078,Nurse,Athletics,Eligible,SIGNED
NB-EMP-079,Employee_079,Coach,Admin,Eligible,SIGNED
NB-EMP-080,Employee_080,Teacher,Academics,Eligible,SIGNED
NB-EMP-081,Employee_081,Admin,Operations,Eligible,SIGNED
NB-EMP-082,Employee_082,Counselor,Athletics,Eligible,SIGNED
NB-EMP-083,Employee_083,Nurse,Admin,Eligible,SIGNED
NB-EMP-084,Employee_084,Coach,Academics,Eligible,SIGNED
NB-EMP-085,Employee_085,Teacher,Operations,Eligible,SIGNED
NB-EMP-086,Employee_086,Admin,Athletics,Eligible,SIGNED
NB-EMP-087,Employee_087,Counselor,Admin,Eligible,SIGNED
NB-EMP-088,Employee_088,Nurse,Academics,Eligible,SIGNED
NB-EMP-089,Employee_089,Coach,Operations,Eligible,SIGNED
NB-EMP-090,Employee_090,Teacher,Athletics,Eligible,SIGNED
NB-EMP-091,Employee_091,Admin,Admin,Eligible,SIGNED
NB-EMP-092,Employee_092,Counselor,Academics,Eligible,SIGNED
NB-EMP-093,Employee_093,Nurse,Operations,Eligible,SIGNED
NB-EMP-094,Employee_094,Coach,Athletics,Eligible,SIGNED
